id,name,latitude,longitude,agent_code,geo_level_1,geo_level_2,geo_level_3,geo_level_4,geo_level_5,is_pos,contact_name,contact_phone_number,pos_type,pos_channel,picture_uri,electronic_recharge_activity_flag,physical_recharge_activity_flag,sim_activity_flag,handset_activity_flag,mfs_activity_flag
FIPO0,FIPO0,50.84679950583442,4.373913800029871,FIPO0,LVL1_Bruxelles,null,null,null,null,true,Han Shumway,+32427409965,grocery store,CHA02,null,true,true,true,false,false
FIPO1,FIPO1,50.98318880808502,4.81852378385211,FIPO1,LVL1_Aarschot,null,null,null,null,true,Tyree Widman,+32497476377,fuel station,CHA03,/api/media/files?path=supermarche_3.jpg,false,false,true,true,false
FIPO2,FIPO2,50.84460862052767,3.276036827344144,FIPO2,LVL1_Kuurne,null,null,null,null,true,Kristen Janusz,+32453302863,chemist,CHA03,/api/media/files?path=proximus_5.jpg,true,false,true,false,true
FIPO4,FIPO4,50.83632760961705,4.483166362964059,FIPO4,LVL1_Wezembeek-Oppem,null,null,null,null,true,Connie Stanko,+32459798917,fuel station,CHA02,/api/media/files?path=supermarche_1.jpg,false,true,false,true,false
FIPO7,FIPO7,51.099906591145164,3.76480418974008,FIPO7,LVL1_Gand,null,null,null,null,true,Kati Sharma,+32429789527,fuel station,CHA01,/api/media/files?path=proximus_5.jpg,false,true,true,true,true
FIPO8,FIPO8,50.577444098545854,4.0715763982656386,FIPO8,LVL1_Soignies,null,null,null,null,true,Darron Craver,+32473681390,chemist,CHA01,/api/media/files?path=proximus_2.jpg,true,true,false,true,false
FIPO9,FIPO9,50.973856102012384,5.446049189630528,FIPO9,LVL1_Genk,null,null,null,null,true,Zonia Corns,+32410264855,fuel station,CHA01,null,true,true,true,true,true
FIPO10,FIPO10,50.77468692188546,3.4339300086430153,FIPO10,LVL1_Avelgem,null,null,null,null,true,Vickey Mounsey,+32457170403,fuel station,CHA01,/api/media/files?path=supermarche_3.jpg,false,true,true,true,true
FIPO11,FIPO11,50.83908474250326,4.284848456187604,FIPO11,LVL1_Anderlecht,null,null,null,null,true,Lawanna Jess,+32483811912,chemist,CHA03,/api/media/files?path=proximus_0.jpg,true,true,true,false,true
FIPO12,FIPO12,51.17641460264825,4.455690964378309,FIPO12,LVL1_Mortsel,null,null,null,null,true,Glennie Menjivar,+32477261840,fuel station,CHA01,/api/media/files?path=supermarche_2.jpg,false,false,false,false,true
FIPO13,FIPO13,50.47017559051446,4.270116657345718,FIPO13,LVL1_Chapelle-lez-Herlaimont,null,null,null,null,true,Brittni Mertens,+32441417257,fuel station,CHA03,null,false,false,true,false,true
FIPO14,FIPO14,50.83908143593324,4.427704683535289,FIPO14,LVL1_Woluwe-Saint-Lambert,null,null,null,null,true,Connie Stanko,+32408926510,grocery store,CHA03,/api/media/files?path=supermarche_3.jpg,false,true,false,false,false
FIPO15,FIPO15,50.859648296037655,4.410935263765855,FIPO15,LVL1_Evere,null,null,null,null,true,Darron Craver,+32475015395,fuel station,CHA02,/api/media/files?path=proximus_1.jpg,true,true,true,true,true
FIPO17,FIPO17,50.870549255888825,4.805695835897448,FIPO17,LVL1_Lubbeek,null,null,null,null,true,Kymberly Mends,+32464602418,chemist,CHA03,/api/media/files?path=supermarche_2.jpg,false,false,false,false,true
FIPO18,FIPO18,50.63271975188555,5.732519839629492,FIPO18,LVL1_Soumagne,null,null,null,null,true,Kimiko Wiedeman,+32405916890,chemist,CHA03,null,false,true,true,false,false
FIPO20,FIPO20,50.60981724055947,3.3347549760128263,FIPO20,LVL1_Tournai,null,null,null,null,true,Thomasena Yarger,+32426580343,fuel station,CHA01,/api/media/files?path=librairie_1.jpg,true,false,true,true,true
FIPO21,FIPO21,50.82121509869343,4.884630579126912,FIPO21,LVL1_Tirlemont,null,null,null,null,true,Vickey Mounsey,+32475356317,fuel station,CHA02,/api/media/files?path=proximus_1.jpg,false,true,true,true,false
FIPO22,FIPO22,50.402166451795736,4.445263613171936,FIPO22,LVL1_Charleroi,null,null,null,null,true,Gonzalo Gao,+32425615167,grocery store,CHA01,/api/media/files?path=supermarche_2.jpg,true,false,false,false,true
FIPO23,FIPO23,50.87032782073255,4.881302684056723,FIPO23,LVL1_Lubbeek,null,null,null,null,true,Kenton Demaio,+32475793898,chemist,CHA01,/api/media/files?path=proximus_3.jpg,true,false,false,false,false
